1000 2000
0 102 957066
0 433 936110
0 757 933516
0 943 169631
1 39 281602
1 54 154564
1 468 683718
2 127 293127
2 188 533108
2 828 91029
3 202 264242
3 422 512504
3 652 244022
3 860 532970
4 363 741865
4 388 182286
4 655 891524
4 883 548672
5 270 225486
5 423 172765
5 885 469287
5 963 965056
6 12 467102
6 45 287381
6 410 701479
6 468 907884
6 635 782258
6 909 952903
7 242 151544
7 335 369503
7 548 763407
7 566 126816
7 718 933291
7 746 903370
7 767 329166
7 770 727486
7 819 8951
8 204 657693
8 299 185276
8 467 985023
8 580 160044
8 589 652914
8 613 858741
9 123 567208
9 378 804335
9 866 114890
9 933 218451
10 22 979757
10 90 313428
10 141 925987
10 256 32622
10 263 220400
10 276 101990
10 301 69937
10 473 104829
10 783 268017
10 801 913749
11 520 57766
11 619 518522
11 622 207469
11 724 106023
12 15 414446
12 110 173289
12 280 684398
12 338 320991
12 440 848922
12 502 699151
13 203 4509
13 602 223129
13 779 957193
13 788 791022
13 928 960742
14 368 540191
14 766 229775
14 837 779065
15 127 367953
15 165 463929
15 438 322061
15 550 402681
15 697 408732
15 783 285858
15 872 343605
16 841 748938
16 949 13227
17 101 216107
17 145 697086
18 30 614331
18 551 462130
18 747 655521
19 30 685463
19 480 761763
19 484 323938
19 894 475448
19 981 588629
20 175 790919
20 236 906650
20 326 826164
20 353 301864
20 435 780946
20 528 395540
20 614 784574
20 944 977380
21 22 206630
21 23 339707
21 97 827965
21 161 866517
21 167 645799
21 176 107328
22 174 116405
22 270 640210
23 35 698482
23 175 374833
23 674 465493
23 850 165816
24 290 752214
24 717 680330
24 937 389000
25 145 665885
25 249 593810
25 290 196499
25 610 354852
25 844 833373
25 847 914815
25 868 656195
25 941 940319
26 57 996927
26 60 771789
26 169 813010
26 358 324085
26 505 469512
26 749 918048
26 762 517441
26 995 846927
27 207 356011
27 264 251794
27 408 932664
28 129 198115
28 813 512478
28 835 564030
28 859 380400
29 211 310965
29 353 390508
29 381 988885
29 985 945061
30 522 872662
31 100 225401
31 201 34022
31 421 961655
31 457 389123
31 694 1636
31 728 29517
32 177 670041
32 188 940671
32 234 631966
32 433 628230
32 464 23451
32 539 681713
32 728 428306
32 788 550884
32 929 345663
32 988 798894
32 996 255416
33 561 589342
33 573 929981
33 586 284883
33 714 634875
33 929 65784
34 119 247894
34 120 968582
34 338 997278
34 378 680358
34 438 565698
34 657 730274
34 781 78043
35 132 682171
35 382 662125
35 761 302615
35 782 173533
36 310 364691
36 633 42163
37 427 748080
37 543 160883
38 186 265636
38 255 771817
38 792 850732
38 844 132501
39 95 572904
39 681 846306
39 683 678866
40 200 542902
40 443 823111
41 197 163343
41 290 477088
42 422 84210
42 426 188333
42 966 946044
43 600 164832
43 688 506747
43 943 869975
43 976 73464
44 416 567627
44 669 825828
45 217 783091
45 495 510765
45 507 170503
46 114 570159
46 317 369999
46 486 52334
46 791 378092
46 798 449125
46 801 606827
47 116 452901
47 635 303879
47 912 516031
48 139 45205
48 328 771889
48 385 273114
48 920 111170
48 937 28462
49 464 554947
49 522 690320
49 642 370218
49 688 615639
50 166 597384
50 303 791644
50 344 253757
50 530 544280
50 542 374456
50 681 352915
50 843 132839
50 895 354633
51 110 975565
51 392 48860
51 445 819844
52 69 963905
52 372 289687
53 495 439477
53 527 568072
53 717 993651
53 785 164909
53 840 403876
54 278 636377
54 441 464980
54 637 762455
55 97 145289
55 853 132193
55 916 936568
56 138 196156
56 329 779618
56 337 651059
56 834 915571
56 881 76118
56 966 735793
57 438 689356
57 595 70116
57 676 831224
57 843 369590
58 423 975099
58 870 12116
